Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"podľa mojich informácií z európskych fondov má dôjsť k modernizácii asi 60, niekoľko desiatok vlakových súprav z hľadiska regionálnej dopravy a dokonca a všímate si, že prebieha obrovská deliberalizácia, to znamená súboj súkromní prevádzkovatelia so štátnymi.";Neoveritelné;;;;"Peter Kažimír";"SMER - sociálna demokracia"
"To 6-stranové rozhodnutie prezidenta, bývalého prezidenta Slovenskej republiky, ktorý ma odmietol vymenovať, obsahuje dve podstatné chyby, keď on hovorí o chybách. Ja verím tomu, že ako odborník na trestné právo alebo na trestné právo procesné, je docentom, vie, aký má za následok to, keď napríklad vyšetrovateľ uvedie zlý dátum skutku. On tam uviedol vo svojom rozhodnutí, že som mal spáchať skutok podľa jeho názoru 27. júla.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"To je zo zápisnice Ústavného súdu. Vyžiadal som zápisnicu od Jozefa Čentéša. Vtedajší riaditeľ trestného odboru pred senátom Ústavného súdu dňa 23.10. toho roku povedal: ""Pán docent odbehol do svojej kancelárie, po chvíli došiel a povedal, že ju nemôže nájsť. Začal ju hľadať, povedal mi, že ju omylom zrejme v kancelária pri likvidovaní podkladov skartovala."" A potom volal rýchlo pána poslanca Matoviča a ten povedal toto pre Televíziu TA3: ""Už som bol na ceste domov, no zavolali mi z Generálnej prokuratúry, že treba to prebehnúť znovu"", doslova citujem, ""lebo bohužiaľ to sekretárka skartovala."" Čiže on povedal, že kancelária likvidovala a už Matovič povedal, že skartovala sekretárka. Máte tam ďalej, bol tam pán Matovič, čo povedal na tlačovke.";Neoveritelné;;;;"Ivan Gašparovič";"Bez príslušnosti"
"A ešte jednu vec vám chcem povedať, ja som v tejto svojej sťažnosti napísal a Ústavný súd si to osvojil, že pán prezident, bývalý prezident, si na seba prevzal právomoc disciplinárnej komisie.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Ja som v ten deň cestoval na dovolenku, skončil som výpoveď, išiel som odprevadiť pána Matoviča k výťahu a mal som so sebou poznámky, lebo na ten výsluch som sa pripravoval. Bolo tam viacero papierov a keďže som tie papiere nepotreboval, tak som ich skartoval. A ja chcem jednu vec povedať, nebol to len pán doktor Šumichrast, ale bolo to aj vtedajšie vedenie Generálnej prokuratúry, ktoré ma zavolalo, ktorí ma vypočuli a ktorí to vyhodnotili ako ľudský omyl. Veď oni to aj v tlačovej správe uviedli, že to bol ľudský omyl.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Ja chcem jednu vec povedať, pred senátom Ústavného súdu boli vypočutí svedkovia (ohľadom skartácie výpovede Matoviča, pozn.), ktorí majú povinnosť hovoriť pravdu a potvrdili moju výpoveď. Konkrétne spomeniem troch svedkov. Prvý bol môj nadriadený, ktorý mal nado mnou disciplinárnu zodpovednosť, ktorý povedal, bol to ľudský omyl, kto robí, robí chyby. Toto povedal na konaní pred Ústavným súdom Slovenskej republiky.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Bol to ľudský omyl (skartácia výpovede Matoviča, pozn.) a takto to vyhodnotili moji nadriadení.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Jednak to, ako postupoval pri skartovaní tak dôležitého materiálu, aký bol vo veci vypočúvania pána poslanca Matoviča a to, ako menil svoje výpovede, ako obviňoval zamestnancov, ako obviňoval sekretárku, zapisovateľku, ako potom to zobral na seba, aké časové rozdiely tam boli.";Neoveritelné;;;;"Ivan Gašparovič";"Bez príslušnosti"
"Bývalý prezident dokonca neprijal ani mňa, keď som požiadal o prijatie a vysvetlenie situácie.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"živnostníci a takisto s.r.o., akciové spoločnosti sú prirodzenou časťou súkromného sektora a dokonca dohromady vlastne sa podieľajú na tvorbe nášho hrubého domáceho produktu viac ako štát";Neoveritelné;;;;"Peter Kažimír";"SMER - sociálna demokracia"
"Nepoznám, lebo nebolo zverejnené (odlišné stanovisko člena senátu, pozn.), ale ja chcem jednu vec povedať, že samotný pán prezident po skončení pojednávania, myslím, že povedal, že toto rozhodnutie rešpektujem.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"...senát rozhodol nie jednohlasne. V senáte je iný názor.";Neoveritelné;;;;"Ivan Gašparovič";"Bez príslušnosti"
"Ja predpokladám, že si všimol, že 4. decembra 2012 sedel medzi verejnosťou, on bol verejnosť, on nie je účastníkom konania, veď to Ústavný súd jasne povedal, nie je účastníkom konania, ani vedľajším účastníkom konania.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Pokiaľ ide o to, čo tu bolo povedané, že či súčasný prezident tie námietky môže stiahnuť alebo nemôže stiahnuť, on, súčasný pán prezident pán Kiska jednoznačne povedal, že on sa s týmito dôvodmi sťažností uplatnených voči sudcom nestotožňuje.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"...prečo bývalý prezident Slovenskej republiky nemôže byť účastníkom konania a presne mu to vysvetlil (predseda senátu ÚS, pozn). Okrem iného odkazujem na paragraf 51 zákona, ktorý hovorí o tom, že účastníkom konania pred Ústavným súdom je sťažovateľ a ten, proti komu sa konanie vedie. To znamená, že ústavní právnici to vysvetlili väčšinou úplne zrozumiteľne a to tak, že zánikom funkcie bývalého prezidenta vstúpil do konania nový prezident. Pretože keď si niekto pozrie sťažnosť, predpokladám, že bývalý prezident si ju pozrel, tak si určite všimol, že ja som nežaloval jeho ako fyzickú osobu, ale prezidenta Slovenskej republiky.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Ale prezident nepovedal, že sťahuje námietky moje, prezident len povedal, že sa nestotožňuje s mojimi námietkami. A to je veľký rozdiel.";Neoveritelné;;;;"Ivan Gašparovič";"Bez príslušnosti"
"Pokiaľ hovoril (predseda senátu, pozn.), že preto ma nezobral, lebo námietky stiahol pán súčasný prezident, tak nepozná Ústava, ani ústavný zákon o organizácii Ústavného súdu a sudcov a tak ďalej, možnosť vziať takéto pripomienky späť. Ústava pozná, aj zákon o Ústavnom súde, možnosť zobrať späť sťažnosť, ale ešte aj tu dokonca sudca Ústavného súdu má možnosť, výnimky neprijať vzatie takejto sťažnosti späť z určitých taxatívne vymenovaných dôvodov.";Neoveritelné;;;;"Ivan Gašparovič";"Bez príslušnosti"
